% Model:              CantileverBeam_Success.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 14 2024, 21:41
% Dimension:          2
% Nodes:              31
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% Eigenvalues:        [17.695, 110.88, 310.42, 608.22, 1005.5, 1078.2] Hz
% X                       Y                        v (m) @ lambda=1         v (m) @ lambda=2         v (m) @ lambda=3         v (m) @ lambda=4         v (m) @ lambda=5         v (m) @ lambda=6
0.033333333333333326      0.0127                   1.916580890321651E-9     1.144999875430824E-8     3.067679650835652E-8     5.739888552977982E-8     9.052568981370876E-8     -7.490642062782876E-19
0.06666666666666754       0.0127                   7.560891662352184E-9     4.35058935542296E-8      1.1217735335576582E-7    2.00765573280326E-7      3.0108870650323463E-7    -2.6700472033830684E-18
0                         0.0127                   0                        0                        0                        0                        0                        0
0.10000000000000087       0.0127                   1.675375702419598E-8     9.227817100978385E-8     2.2681160312775453E-7    3.8256606819797743E-7    5.34180337435584E-7      -5.213746544183506E-18
0.13333333333333414       0.0127                   2.9316099373918662E-8    1.538991178974184E-7     3.5732427864284214E-7    5.582068242540862E-7     7.041216182390605E-7     -7.837399296274897E-18
0.16666666666666746       0.0127                   4.506916056057893E-8     2.245694428472288E-7     4.877637482018147E-7     6.914170438917895E-7     7.564391562579271E-7     -1.0076237357619469E-17
0.20000000000000073       0.0127                   6.383454157613339E-8     3.0056331785487663E-7    6.035030003653989E-7     7.537740641111727E-7     6.633046168593325E-7     -1.155398078315595E-17
0.23333333333333406       0.0127                   8.5434684920411E-8       3.78318423659183E-7      6.926742179713848E-7     7.316893417677051E-7     4.4054807123619344E-7    -1.2135358870568677E-17
0.26666666666666733       0.0127                   1.0969280747046066E-7    4.5441475349069787E-7    7.456316858931795E-7     6.221125120759103E-7     1.2898739412630232E-7    -1.1833265433652446E-17
0.30000000000000066       0.0127                   1.3643371229510888E-7    5.257065234956237E-7     7.566341143327579E-7     4.376478435881373E-7     -2.051718000158775E-7    -1.0903038197349164E-17
0.3333333333333339        0.0127                   1.6548352871003634E-7    5.892625641112889E-7     7.226804154259006E-7     1.9958568577210422E-7    -4.908491071923702E-7    -9.691828386874131E-18
0.36666666666666725       0.0127                   1.9667091336971273E-7    6.425321337835875E-7     6.450295555431746E-7     -6.142445400421777E-8    -6.687201665791063E-7    -8.627634174998762E-18
0.4000000000000005        0.0127                   2.2982652072890228E-7    6.832424962840637E-7     5.27594622892573E-7      -3.1194404277990217E-7   -6.978805616299216E-7    -8.071519215362752E-18
0.43333333333333385       0.0127                   2.647846444225618E-7     7.09585524961211E-7      3.7791907277622137E-7    -5.198377952130229E-7    -5.758307725997673E-7    -8.230773696300925E-18
0.4666666666666671        0.0127                   3.0138235050032523E-7    7.200752588236054E-7     2.054838146978365E-7     -6.5731473003013E-7      -3.262728063388302E-7    -9.131373148775184E-18
0.5000000000000004        0.0127                   3.3946160158310154E-7    7.137386025801908E-7     2.189726761717936E-8     -7.076771782995288E-7    -5.9840588302594924E-9   -1.0597123887748863E-17
0.5333333333333337        0.0127                   3.7886799425096965E-7    6.899418712805927E-7     -1.6047676013950754E-7   -6.633875298772982E-7    3.1600856995254274E-7    -1.2301477333576939E-17
0.5666666666666671        0.0127                   4.194534003457801E-7     6.485670721134565E-7     -3.291488928916285E-7    -5.320141757020639E-7    5.703380494288514E-7     -1.3849724430056162E-17
0.6000000000000003        0.0127                   4.610742586926423E-7     5.898213129245935E-7     -4.7221683753169327E-7   -3.3037202633841015E-7   6.995065400813737E-7     -1.4829350112022854E-17
0.6333333333333336        0.0127                   5.035947603186086E-7     5.143801315563015E-7     -5.796260128983795E-7    -8.663539925457424E-8    6.787868112724004E-7     -1.498008612613786E-17
0.666666666666667         0.0127                   5.468846531775501E-7     4.231968680123372E-7     -6.430520432689715E-7    1.6641375693694344E-7    5.0972423097502E-7       -1.4156698992779196E-17
0.7000000000000002        0.0127                   5.90822991101666E-7      3.175961477721834E-7     -6.57425347170271E-7     3.9413627156891204E-7    2.328718992408657E-7     -1.2490407357999455E-17
0.7333333333333335        0.0127                   6.352954182702554E-7     1.9910174153242262E-7    -6.200322076881752E-7    5.64204869101214E-7      -9.206389587363028E-8    -1.0241030278822535E-17
0.7666666666666668        0.0127                   6.80198495536098E-7      6.94662970830291E-8      -5.318488665472989E-7    6.526882906710078E-7     -3.919678348043105E-7    -7.8341870782838E-18
0.8                       0.0127                   7.254364389119928E-7     -6.946416367625746E-8    -3.961210984082742E-7    6.435028579743739E-7     -5.971506391730742E-7    -5.697091905635075E-18
0.8333333333333335        0.0127                   7.709260316553749E-7     -2.157943072292678E-7    -2.190746690872727E-7    5.344610359942743E-7     -6.603623135485031E-7    -4.192190607021449E-18
0.8666666666666667        0.0127                   8.165927979156888E-7     -3.676622004222652E-7    -8.380214677777255E-9    3.3231090825205075E-7    -5.566971752705713E-7    -3.5431324712012764E-18
0.9                       0.0127                   8.623765047586097E-7     -5.23363078558664E-7     2.2707689219349279E-7    5.513390088152515E-8     -2.9898465211069205E-7   -3.7590009490664115E-18
0.9333333333333333        0.0127                   9.082267581894614E-7     -6.813663822473018E-7    4.783943666545954E-7     -2.744255814247637E-7    7.924511641036188E-8     -4.681806979389426E-18
0.9666666666666668        0.0127                   9.54109096295958E-7      -8.405214423803594E-7    7.379750508826273E-7     -6.327027847550507E-7    5.278032435776727E-7     -6.0103909935797105E-18
1                         0.0127                   9.99999999999997E-7      -9.999999999999974E-7    9.999999999999976E-7     -9.999999999999985E-7    9.999999999999985E-7     -7.454091225186585E-18
