% Model:              CantileverBeam_Split Beam.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 12 2024, 13:58
% Dimension:          2
% Nodes:              81
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% EI-values:          [1000, 5000] Pa*m^4
% mu-values:          [1, 1] kg/m
% Eigenvalues:	      [10.622, 102.26, 370.41, 658.44, 731.43, 1142.7] Hz
% X                       Y                        v (m) @ lambda=1         v (m) @ lambda=2         v (m) @ lambda=3         v (m) @ lambda=4         v (m) @ lambda=5         v (m) @ lambda=6
0.0125                    0.0127                   5.757079808396562E-10    5.4804982053255585E-9    1.448074904293201E-8     2.6611329881579422E-8    8.072231879412754E-19    4.6094584162932786E-8
0.025000000000000012      0.0127                   1.151415961679314E-9     1.0960996410651135E-8    2.8961498085864058E-8    5.322265976315892E-8     1.6144506407497364E-18   9.218916832586564E-8
0                         0.0127                   0                        0                        0                        0                        0                        0
0.03750000000000001       0.0127                   2.841032872928947E-9     2.6028677529514965E-8    6.62785599798062E-8      1.1776906185708496E-7    3.549334252082983E-18    1.9524679348119562E-7
0.049999999999999996      0.0127                   4.5306497841785795E-9    4.109635864837878E-8     1.0359562187374836E-7    1.8231546395101094E-7    5.484226389070903E-18    2.9830441863652557E-7
0.06249999999999999       0.0127                   7.29652001742655E-9      6.437268994747296E-8     1.5762596548356742E-7    2.6960481838753995E-7    8.064179226661372E-18    4.2378830725778475E-7
0.07499999999999998       0.0127                   1.0062390250674512E-8    8.764902124656709E-8     2.1165630909338634E-7    3.568941728240688E-7     1.0644078952660266E-17   5.492721958790436E-7
0.08749999999999997       0.0127                   1.3866861981355548E-8    1.1775867225898008E-7    2.7638351821723975E-7    4.523308734926115E-7     1.3406847749407064E-17   6.656086674942723E-7
0.09999999999999998       0.0127                   1.7671333712036575E-8    1.47868323271393E-7      3.4111072734109313E-7    5.477675741611541E-7     1.6169683663154208E-17   7.819451391095015E-7
0.11249999999999999       0.0127                   2.2476763716986563E-8    1.8344293787022828E-7    4.107403803822597E-7     6.379441634436764E-7     1.8691648876609985E-17   8.631018439203668E-7
0.125                     0.0127                   2.7282193721936575E-8    2.1901755246906368E-7    4.803700334234267E-7     7.281207527261992E-7     2.1213847552336432E-17   9.442585487312326E-7
0.1375                    0.0127                   3.305095400390071E-8     2.587006227567317E-7     5.494676745378833E-7     8.014633449199848E-7     2.313615294904362E-17    9.721292743656166E-7
0.15000000000000002       0.0127                   3.8819714285864826E-8    2.9838369304439957E-7    6.185653156523394E-7     8.748059371137699E-7     2.5058153701906158E-17   9.999999999999993E-7
0.16250000000000003       0.0127                   4.551420043946656E-8     3.408363143366223E-7     6.822047338049008E-7     9.221834535959123E-7     2.6108458548547328E-17   9.660682291108675E-7
0.17500000000000004       0.0127                   5.2208686593068316E-8    3.832889356288455E-7     7.458441519574622E-7     9.695609700780554E-7     2.7158909367748587E-17   9.321364582217365E-7
0.18750000000000006       0.0127                   5.979132784677344E-8     4.2719622371107026E-7    7.997544440522453E-7     9.847804850390272E-7     2.7177683550648936E-17   8.380505538523575E-7
0.20000000000000007       0.0127                   6.737396910047857E-8     4.711035117932952E-7     8.536647361470291E-7     9.999999999999993E-7     2.7196412178812437E-17   7.439646494829782E-7
0.21250000000000005       0.0127                   7.580723996912821E-8     5.151814664568414E-7     8.943657058881787E-7     9.801268870791577E-7     2.6148512332350288E-17   6.008523372818254E-7
0.225                     0.0127                   8.424051083777786E-8     5.592594211203873E-7     9.350666756293286E-7     9.602537741583166E-7     2.51007613046505E-17     4.5774002508067306E-7
0.2375                    0.0127                   9.348694432032312E-8     6.02262023853043E-7      9.599835082517767E-7     9.057150811139549E-7     2.306667948572733E-17    2.8429649826552993E-7
0.25                      0.0127                   1.0273337780286827E-7    6.452646265856981E-7     9.849003408742236E-7     8.511763880695917E-7     2.103245134592128E-17    1.108529714503859E-7
0.2625                    0.0127                   1.1275558006001874E-7    6.85990965268529E-7      9.924501704371115E-7     7.656277666054773E-7     1.8187215495398013E-17   -6.957024989459216E-8
0.275                     0.0127                   1.2277778231716926E-7    7.2671730395136E-7       1.0E-6                   6.800791451413638E-7     1.5341822658740013E-17   -2.499934712395696E-7
0.2875                    0.0127                   1.3353844876376775E-7    7.640185235378748E-7     9.896449064139601E-7     5.70038265001109E-7      1.193358602582795E-17    -4.129178420897746E-7
0.29999999999999993       0.0127                   1.4429911521036615E-7    8.013197431243891E-7     9.7928981282792E-7       4.599973848608533E-7     8.525360178657302E-18    -5.758422129399798E-7
0.31249999999999994       0.0127                   1.5576104795742876E-7    8.341056285542133E-7     9.515528903843923E-7     3.3426847221512927E-7    4.8450274532368275E-18   -6.993338079251799E-7
0.32499999999999996       0.0127                   1.6722298070449135E-7    8.668915139840375E-7     9.238159679408647E-7     2.0853955956940549E-7    1.1649305439079435E-18   -8.228254029103802E-7
0.33749999999999997       0.0127                   1.7934910728601218E-7    8.941365199827518E-7     8.802593244295462E-7     7.747294656183741E-8     -2.4739623059059896E-18  -8.908101677392655E-7
0.35                      0.0127                   1.914752338675332E-7     9.213815259814666E-7     8.367026809182282E-7     -5.359366644573071E-8    -6.1128049384358045E-18  -9.587949325681512E-7
0.3625                    0.0127                   2.0422862718732781E-7    9.421300778617171E-7     7.798684779349739E-7     -1.7894771828148089E-7   -9.386098858560009E-18   -9.635706087812645E-7
0.375                     0.0127                   2.1698202050712238E-7    9.628786297419676E-7     7.230342749517196E-7     -3.043017701172308E-7    -1.2659205290267071E-17  -9.683462849943776E-7
0.3875                    0.0127                   2.3032591994121146E-7    9.762495297592425E-7     6.563521247717036E-7     -4.1307531641387845E-7   -1.5251187512306905E-17  -9.119633380047964E-7
0.4                       0.0127                   2.436698193753008E-7     9.896204297765182E-7     5.896699745916878E-7     -5.218488627105266E-7    -1.7843476008257237E-17  -8.55580391015216E-7
0.41250000000000003       0.0127                   2.575676529655901E-7     9.948102148882593E-7     5.173360884267849E-7     -6.042002381069669E-7    -1.9494637509494897E-17  -7.499346307579684E-7
0.42500000000000004       0.0127                   2.7146548655587926E-7    9.999999999999997E-7     4.4500220226188207E-7    -6.865516135034069E-7    -2.1145734190773818E-17  -6.442888705007213E-7
0.4375                    0.0127                   2.8588089423116474E-7    9.962851088845301E-7     3.718375672892427E-7     -7.343979941791963E-7    -2.168649423928843E-17   -5.09966864675438E-7
0.45                      0.0127                   3.002963019064499E-7     9.925702177690596E-7     2.9867293231660277E-7    -7.82244374854985E-7     -2.222699614762227E-17   -3.756448588501538E-7
0.4625                    0.0127                   3.151931596671322E-7     9.793078375122161E-7     2.29969420458186E-7      -7.898167493199569E-7    -2.160959260491093E-17   -2.397634434581869E-7
0.475                     0.0127                   3.300900174278145E-7     9.660454572553734E-7     1.6126590859976907E-7    -7.973891237849292E-7    -2.0992297198652653E-17  -1.0388202806622019E-7
0.4875                    0.0127                   3.4543246243104477E-7    9.426729330150908E-7     1.0263054399283819E-7    -7.615553352084196E-7    -1.928049032318649E-17   2.6602146128784983E-9
0.5                       0.0127                   3.607749074342751E-7     9.193004087748086E-7     4.399517938590721E-8     -7.257215466319101E-7    -1.7569202870342733E-17  1.0920245729197714E-7
0.5125                    0.0127                   3.763634108184014E-7     8.895704588809027E-7     -5.145268926227299E-9    -6.635318723498489E-7    -1.528720528730595E-17   1.790579421283528E-7
0.525                     0.0127                   3.9195191420252756E-7    8.598405089869966E-7     -5.428571723836175E-8    -6.013421980677877E-7    -1.3004882030609079E-17  2.4891342696472834E-7
0.5375000000000001        0.0127                   4.0761542003623814E-7    8.279219370037674E-7     -9.908541564178671E-8    -5.311890109685059E-7    -1.0585728640278253E-17  3.0055861764727807E-7
0.55                      0.0127                   4.232789258699488E-7     7.960033650205381E-7     -1.4388511404521172E-7   -4.610358238692241E-7    -8.166810469365019E-18   3.522038083298277E-7
0.5625                    0.0127                   4.3901064908636426E-7    7.618705319597866E-7     -1.8320556616233875E-7   -3.8501345182931964E-7   -5.710920110555528E-18   3.812342849653716E-7
0.575                     0.0127                   4.5474237230277985E-7    7.277376988990354E-7     -2.2252601827946582E-7   -3.089910797894156E-7    -3.255157869224565E-18   4.1026476160091597E-7
0.5874999999999999        0.0127                   4.7053574875473035E-7    6.914034918482685E-7     -2.5532063913444057E-7   -2.3012038887218146E-7   -8.97235780259342E-19    4.1442573982953927E-7
0.6                       0.0127                   4.863291252066805E-7     6.550692847975008E-7     -2.8811525998941497E-7   -1.5124969795494706E-7   1.4609800961021862E-18   4.18586718058162E-7
0.6125                    0.0127                   5.021778280892757E-7     6.165818143427228E-7     -3.1347940266770736E-7   -7.31721640667225E-8     3.5639615219510315E-18   3.9812592175511066E-7
0.625                     0.0127                   5.180265309718704E-7     5.780943438879442E-7     -3.388435453459996E-7    4.9053698215020715E-9    5.666909876066393E-18    3.776651254520594E-7
0.6375                    0.0127                   5.339244873094028E-7     5.375334282593129E-7     -3.5605622835178427E-7   7.824522249730738E-8     7.334662172720884E-18    3.3538278487166595E-7
0.6499999999999999        0.0127                   5.49822443646936E-7      4.969725126306822E-7     -3.732689113575695E-7    1.5158507517311318E-7    9.002344324223527E-18    2.9310044429127236E-7
0.6625000000000001        0.0127                   5.657638508375203E-7     4.5444595325450426E-7    -3.818250938210972E-7    2.162541567087206E-7     1.0096217478286878E-17   2.3409936050691282E-7
0.675                     0.0127                   5.817052580281045E-7     4.119193938783264E-7     -3.903812762846247E-7    2.8092323824432744E-7    1.1190297334469896E-17   1.7509827672255385E-7
0.6875                    0.0127                   5.976846004397044E-7     3.6755905008835743E-7    -3.900137623326466E-7    3.332953697853148E-7     1.1677618613906561E-17   1.062680227977701E-7
0.7                       0.0127                   6.136639428513048E-7     3.2319870629838864E-7    -3.89646248380669E-7     3.8566750132630285E-7    1.2164780666331241E-17   3.743776887298572E-8
