% Model:              Untitled.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 11 2024, 22:33
% Dimension:          2
% Nodes:              81
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% EI-values:          [1000, 1000] Pa*m^4
% mu-values:          [1, 1] kg/m
% Eigenvalues:        [17.689, 110.62, 308.66, 601.82, 988.50, 1078.2] Hz
% X                       Y                        v (m) @ lambda=1         v (m) @ lambda=2         v (m) @ lambda=3         v (m) @ lambda=4         v (m) @ lambda=5         v (m) @ lambda=6
0.0125                    0.0127                   5.490768759640605E-10    3.4306100488199206E-9    9.560163771209673E-9     1.8605445820239862E-8    3.0483544311995795E-8    -4.386546047596487E-19
0.025000000000000012      0.0127                   1.098153751928122E-9     6.861220097639847E-9     1.9120327542419362E-8    3.721089164047976E-8     6.096708862399164E-8     -8.77311400738028E-19
0                         0.0127                   0                        0                        0                        0                        0                        0
0.03750000000000001       0.0127                   2.7077434650542296E-9    1.633555698937706E-8     4.40567985808518E-8      8.279900583551635E-8     1.308154369745478E-7     -1.8660500813470675E-18
0.049999999999999996      0.0127                   4.3173331781803355E-9    2.580989388111427E-8     6.899326961928421E-8     1.2838712003055288E-7    2.0066378532510386E-7    -2.854806620169829E-18
0.06249999999999999       0.0127                   6.9496470842532135E-9    4.050775907631354E-8     1.0555925039086067E-7    1.9078006071077433E-7    2.885971879057802E-7     -4.071943574043315E-18
0.07499999999999998       0.0127                   9.581960990326085E-9     5.5205624271512776E-8    1.4212523116243707E-7    2.531730013909956E-7     3.7653059048645634E-7    -5.289059745533508E-18
0.08749999999999997       0.0127                   1.3199220447108052E-8    7.43091715141123E-8      1.8662316693696033E-7    3.225435031288818E-7     4.62757333693257E-7      -6.439581007052595E-18
0.09999999999999998       0.0127                   1.6816479903890024E-8    9.341271875671183E-8     2.311211027114837E-7     3.9191400486676806E-7    5.489840769000577E-7     -7.590113665366722E-18
0.11249999999999999       0.0127                   2.138092898876042E-8     1.161092404764262E-7     2.7995685675108344E-7    4.5913839997257295E-7    6.165497610972207E-7     -8.430602227024112E-18
0.125                     0.0127                   2.5945378073630814E-8    1.3880576219614058E-7    3.2879261079068314E-7    5.26362795078378E-7      6.841154452943837E-7     -9.271235124854617E-18
0.1375                    0.0127                   3.141930105410381E-8     1.6429130716540576E-7    3.785412795168237E-7     5.834126680960728E-7     7.202229691467954E-7     -9.630189770925394E-18
0.15000000000000002       0.0127                   3.68932240345768E-8      1.8977685213467084E-7    4.2828994824296404E-7    6.404625411137671E-7     7.563304929992064E-7     -9.988973876487486E-18
0.16250000000000003       0.0127                   4.3238967409498376E-8    2.1726052096784595E-7    4.7576802814993476E-7    6.807838851745976E-7     7.533737509165228E-7     -9.777168992424324E-18
0.17500000000000004       0.0127                   4.9584710784419965E-8    2.447441898010211E-7     5.232461080569056E-7     7.211052292354288E-7     7.504170088338398E-7     -9.56532614527783E-18
0.18750000000000006       0.0127                   5.676470971383671E-8     2.7345295652508386E-7    5.655849739740573E-7     7.39940094778612E-7      7.065342767450979E-7     -8.779227871596764E-18
0.20000000000000007       0.0127                   6.394470864325348E-8     3.021617232491467E-7     6.079238398912094E-7     7.587749603217956E-7     6.626515446563561E-7     -7.993214070691694E-18
0.21250000000000005       0.0127                   7.192151758524392E-8     3.3134563362960425E-7    6.426398486724525E-7     7.53388846938888E-7      5.81683310472091E-7      -6.705730454720866E-18
0.225                     0.0127                   7.989832652723434E-8     3.605295440100618E-7     6.773558574536957E-7     7.480027335559805E-7     5.007150762878264E-7     -5.418243209207254E-18
0.2375                    0.0127                   8.863465390042017E-8     3.894671446824809E-7     7.024128541736804E-7     7.177910493316381E-7     3.915383320827031E-7     -3.772346228435087E-18
0.25                      0.0127                   9.737098127360593E-8     4.1840474535489976E-7    7.274698508936641E-7     6.875793651072948E-7     2.823615878775787E-7     -2.1263777031914065E-18
0.2625                    0.0127                   1.0682972796463429E-7    4.464086021623459E-7     7.413304211408827E-7     6.340376337459212E-7     1.5765926188510733E-7    -3.2231633210633964E-19
0.275                     0.0127                   1.162884746556627E-7     4.744124589697922E-7     7.551909913881014E-7     5.804959023845482E-7     3.295693589263663E-8     1.4817120540977311E-18
0.2875                    0.0127                   1.2643277619169138E-7    5.008346282830636E-7     7.568534620345679E-7     5.070503559997444E-7     -9.2442295956507E-8      3.2137483547380173E-18
0.29999999999999993       0.0127                   1.3657707772772E-7       5.272567975963347E-7     7.585159326810339E-7     4.336048096149398E-7     -2.1784152780565097E-7   4.9456523275670184E-18
0.31249999999999994       0.0127                   1.4737034993486642E-7    5.514941208139252E-7     7.475348579618831E-7     3.4531179785747953E-7    -3.2885995220958177E-7   6.372256197613311E-18
0.32499999999999996       0.0127                   1.5816362214201285E-7    5.757314440315157E-7     7.365537832427324E-7     2.570187861000194E-7     -4.3987837661351245E-7   7.798989237356668E-18
0.33749999999999997       0.0127                   1.6956961011185914E-7    5.972305429107713E-7     7.130424420696183E-7     1.6015227515394364E-7    -5.230967634748237E-7    8.721235206024924E-18
0.35                      0.0127                   1.8097559808170548E-7    6.187296417900274E-7     6.895311008965048E-7     6.328576420786802E-8     -6.063151503361352E-7    9.643549911100872E-18
0.3625                    0.0127                   1.9295842826929765E-7    6.369915007164466E-7     6.541453506970249E-7     -3.515864553963487E-8    -6.516616079449814E-7    9.938001169521573E-18
0.375                     0.0127                   2.0494125845688972E-7    6.552533596428656E-7     6.187596004975445E-7     -1.336030552871378E-7    -6.970080655538275E-7    1.0232296292625832E-17
0.3875                    0.0127                   2.1746549373526177E-7    6.698373903444397E-7     5.72663255990946E-7      -2.2645232561309344E-7   -6.990240072636682E-7    9.87326265555581E-18
0.4                       0.0127                   2.2998972901363403E-7    6.844214210460143E-7     5.265669114843478E-7     -3.1930159593904934E-7   -7.010399489735094E-7    9.514173459104928E-18
0.41250000000000003       0.0127                   2.4302042651173233E-7    6.949489155257557E-7     4.713796161808529E-7     -3.997583415883301E-7    -6.595698924073795E-7    8.565695896089682E-18
0.42500000000000004       0.0127                   2.5605112400983037E-7    7.054764100054969E-7     4.161923208773579E-7     -4.802150872376106E-7    -6.180998358412495E-7    7.617191309643143E-18
0.4375                    0.0127                   2.6955389556279756E-7    7.116332984999669E-7     3.539216274842858E-7     -5.423792465553366E-7    -5.383219585182195E-7    6.216667791610572E-18
0.45                      0.0127                   2.8305666711576476E-7    7.177901869944365E-7     2.916509340912136E-7     -6.045434058730626E-7    -4.5854408119518906E-7   4.816190120834347E-18
0.4625                    0.0127                   2.9699774215895795E-7    7.193290294537713E-7     2.2461098161179653E-7    -6.438642890917764E-7    -3.5033915242765735E-7   3.144384604472273E-18
0.475                     0.0127                   3.1093881720215124E-7    7.208678719131065E-7     1.5757102913237937E-7    -6.831851723104904E-7    -2.421342236601258E-7    1.4726973326439855E-18
0.4875                    0.0127                   3.252851079429105E-7     7.17609023707108E-7      8.829077597100766E-8     -6.968107287464836E-7    -1.1887169169475016E-7   -2.6039475712794264E-19
0.5                       0.0127                   3.396313986836697E-7     7.143501755011094E-7     1.9010522809636334E-8    -7.104362851824765E-7    4.390840270625661E-9     -1.993491729398782E-18
0.5125                    0.0127                   3.5435056738786156E-7    7.061820806419133E-7     -4.9865053110718877E-8   -6.974340138732711E-7    1.2749927098945428E-7    -3.56249444872217E-18
0.525                     0.0127                   3.690697360920533E-7     6.98013985782717E-7      -1.1874062903107409E-7   -6.844317425640655E-7    2.506077017082829E-7     -5.131517898875294E-18
0.5375000000000001        0.0127                   3.8413026432569755E-7    6.848925637611076E-7     -1.845526356764245E-7    -6.458652165059115E-7    3.5838358344268656E-7    -6.32963946561766E-18
0.55                      0.0127                   3.991907925593417E-7     6.717711417394982E-7     -2.5036464232177514E-7   -6.072986904477575E-7    4.6615946517709024E-7    -7.527870807701124E-18
0.5625                    0.0127                   4.145620522292359E-7     6.537182469343666E-7     -3.1054178616573025E-7   -5.461544513311638E-7    5.453307570297109E-7     -8.201377193783819E-18
0.575                     0.0127                   4.2993331189912995E-7    6.356653521292347E-7     -3.707189300096848E-7    -4.8501021221457E-7      6.245020488823314E-7     -8.87469277170424E-18
0.5874999999999999        0.0127                   4.455856379403512E-7     6.127662974967809E-7     -4.228745171812923E-7    -4.059810090754804E-7    6.653429550379997E-7     -8.949449211844669E-18
0.6                       0.0127                   4.612379639815729E-7     5.898672428643277E-7     -4.7503010435290023E-7   -3.269518059363911E-7    7.061838611936684E-7     -9.024363834471321E-18
0.6125                    0.0127                   4.771427285440401E-7     5.622673920701385E-7     -5.170507408789059E-7    -2.3609295662895062E-7   7.037194127869416E-7     -8.518139402106538E-18
0.625                     0.0127                   4.930474931065066E-7     5.346675412759489E-7     -5.590713774049111E-7    -1.452341073215099E-7    7.01254964380214E-7      -8.011678241932269E-18
0.6375                    0.0127                   5.091771810974069E-7     5.025679854222035E-7     -5.891938513297557E-7    -4.951934891285457E-8    6.558823557239366E-7     -7.045730069539667E-18
0.6499999999999999        0.0127                   5.25306869088308E-7      4.7046842956845834E-7    -6.193163252546009E-7    4.619540949580142E-8     6.105097470676595E-7     -6.0797735828790044E-18
0.6625000000000001        0.0127                   5.416351549322333E-7     4.341207760144418E-7     -6.361895563824587E-7    1.3938455940302303E-7    5.279607197814945E-7     -4.827860771811006E-18
0.675                     0.0127                   5.579634407761589E-7     3.9777312246042603E-7    -6.530627875103168E-7    2.3257370931024372E-7    4.4541169249533043E-7    -3.5760741205733574E-18
0.6875                    0.0127                   5.744652662601367E-7     3.574734337641317E-7     -6.557922468055699E-7    3.1598589856394057E-7    3.3606199664739993E-7    -2.1902894063090995E-18
0.7                       0.0127                   5.909670917441149E-7     3.171737450678371E-7     -6.585217061008233E-7    3.9939808781763856E-7    2.2671230079946808E-7    -8.045448519709127E-19
0.7125000000000001        0.0127                   6.076187448204666E-7     2.7325567562213996E-7    -6.466943144058973E-7    4.664359113403551E-7     1.0432542364450437E-7    5.803040603771859E-19
0.7250000000000001        0.0127                   6.24270397896818E-7      2.293376061764437E-7     -6.34866922710972E-7     5.334737348630707E-7     -1.8061453510457604E-8   1.9651966730948338E-18
0.7375                    0.0127                   6.410495923228803E-7     1.8216479251462064E-7    -6.085551115647878E-7    5.7866261374928E-7       -1.3799844859959938E-7   3.2527204523127393E-18
0.75                      0.0127                   6.578287867489426E-7     1.3499197885279674E-7    -5.822433004186029E-7    6.238514926354896E-7     -2.579354436887426E-7    4.540138260422467E-18
0.7625                    0.0127                   6.747147424492203E-7     8.494974670340996E-8     -5.419876276242997E-7    6.432165900364445E-7     -3.6007459195664695E-7   5.6114565821251E-18
0.7749999999999999        0.0127                   6.916006981494978E-7     3.49075145540236E-8      -5.017319548299969E-7    6.625816874373993E-7     -4.6221374022455036E-7   6.682779459710235E-18
0.7874999999999999        0.0127                   7.085742221926486E-7     -1.7606028606425666E-8   -4.485023833266278E-7    6.539021136924093E-7     -5.331717805251003E-7    7.417876245332864E-18
0.7999999999999999        0.0127                   7.255477462357987E-7     -7.011957176687531E-8    -3.952728118232578E-7    6.452225399474183E-7     -6.041298208256503E-7    8.153143389886668E-18
0.8125                    0.0127                   7.425913143261593E-7     -1.2470298581273907E-7   -3.304094507695566E-7    6.081405317351566E-7     -6.340432891274721E-7    8.4169367255628E-18
0.825                     0.0127                   7.596348824165205E-7     -1.792863998586026E-7    -2.6554608971585607E-7   5.710585235228956E-7     -6.639567574292942E-7    8.680631079441386E-18
0.8374999999999999        0.0127                   7.767327208075394E-7     -2.3554482749404773E-7   -1.9068083006417487E-7   5.070311441033395E-7     -6.475630567412578E-7    8.381059515806839E-18
0.85                      0.0127                   7.938305591985586E-7     -2.91803255129493E-7     -1.1581557041249362E-7   4.430037646837835E-7     -6.311693560532218E-7    8.081453235500322E-18
0.8625                    0.0127                   8.109687269434931E-7     -3.4935872784012517E-7   -3.2776593387472835E-8   3.550951501111952E-7     -5.682638966863375E-7    7.189915999628379E-18
0.875                     0.0127                   8.28106894688427E-7      -4.0691420055075726E-7   5.0262383637548084E-8    2.6718653553860636E-7    -5.053584373194526E-7    6.29826207771323E-18
0.8875                    0.0127                   8.452733661521899E-7     -4.6541626035635135E-7   1.3956081597298395E-7    1.5970892075187353E-7    -4.0054801741530537E-7   4.830348876172715E-18
0.9                       0.0127                   8.624398376159547E-7     -5.239183201619467E-7    2.2885924830842066E-7    5.223130596514053E-8     -2.95737597511158E-7     3.3625362611699565E-18
0.9125000000000001        0.0127                   8.79624585180803E-7      -5.830548856805795E-7    3.225390210322158E-7     -6.974789029643907E-8    -1.5748725508729962E-7   1.4179670340986467E-18
0.925                     0.0127                   8.968093327456493E-7     -6.421914511992105E-7    4.162187937560093E-7     -1.9172708655801697E-7   -1.9236912663442626E-8   -5.26340460885292E-19
0.9375                    0.0127                   9.140044096526248E-7     -7.016998617203365E-7    5.125693582994738E-7     -3.229878066823232E-7    1.4171916867737167E-7    -2.7856737600258484E-18
0.95                      0.0127                   9.311994865596008E-7     -7.612082722414637E-7    6.089199228429397E-7     -4.542485268066317E-7    3.026752500181885E-7     -5.04529715687604E-18
0.9625                    0.0127                   9.483991098373344E-7     -8.208864507442114E-7    7.065361320933959E-7     -5.901016692666543E-7    4.754292918235934E-7     -7.500281525940316E-18
0.975                     0.0127                   9.65598733115069E-7      -8.805646292469596E-7    8.041523413438522E-7     -7.259548117266765E-7    6.481833336289973E-7     -9.955402577282106E-18
0.9875                    0.0127                   9.827993665575346E-7     -9.402823146234799E-7    9.020761706719262E-7     -8.629774058633381E-7    8.240916668144981E-7     -1.247124853202662E-17
1                         0.0127                   9.999999999999997E-7     -9.999999999999997E-7    1.0E-6                   -9.999999999999997E-7    9.999999999999993E-7     -1.4986452316575272E-17
